evaluation_role,family,model,target_pct,n,source_files,mae_pp,rmse_pp,bias_pp,median_ae_pp,p95_ae_pp,max_ae_pp,within_4pp,clipped_fraction
BLOCKED_OOF,PGT-PGD,P,75.0,114,3,3.6633682537420773,4.24629026841322,-2.221402600369875,3.315624268865129,7.6812973678861916,9.761132089613824,0.5964912280701754,0.0
BLOCKED_OOF,PGT-PGD,P,100.0,87,2,0.27684666363199617,0.8841354858879821,-0.27684666363199617,0.0,1.4942329423912526,5.424722046479886,0.9770114942528736,0.7931034482758621
BLOCKED_OOF,PGT-PGD,Piecewise-V,0.0,227,1,1.8511772578630454,3.1893128858874427,1.8511772578630454,0.3929037192156599,7.814789567729053,10.657924398749742,0.7973568281938326,0.0
BLOCKED_OOF,PGT-PGD,Piecewise-V,25.0,102,1,10.538655835829996,13.259621019147582,3.6396446139765373,8.69445486044633,26.62548978486638,35.79076928142901,0.2549019607843137,0.0
BLOCKED_OOF,PGT-PGD,Piecewise-V,50.0,201,2,5.780934680692951,7.918298228682697,-2.670784626940004,3.9139292903894543,18.54413383871363,25.86836243064196,0.5024875621890548,0.0
BLOCKED_OOF,PGT-PGD,Piecewise-V,75.0,114,3,2.6357693518365055,3.291033076543011,0.12477244754141624,2.249685105279191,6.8389804343385014,8.051923803218216,0.7719298245614035,0.0
BLOCKED_OOF,PGT-PGD,Piecewise-V,100.0,87,2,0.9414807785982309,1.7734307525960415,-0.9414807785982309,0.0,3.063391082226221,7.539964828863177,0.9540229885057471,0.0
BLOCKED_OOF,PGT-PGD,V,0.0,227,1,10.765532099996781,11.474636583778622,10.765532099996781,10.723013900725064,17.56986374738404,20.434342990655686,0.048458149779735685,0.004405286343612335
BLOCKED_OOF,PGT-PGD,V,25.0,102,1,8.77032887703926,10.516538046484849,7.006639650374574,8.654771710573526,17.362203524003338,27.415970059515168,0.22549019607843138,0.0196078431372549
BLOCKED_OOF,PGT-PGD,V,50.0,201,2,8.55350909400933,9.192267823197078,-8.544668151461394,8.66114998645618,14.005931003888747,16.93860018921511,0.11442786069651742,0.0
BLOCKED_OOF,PGT-PGD,V,75.0,114,3,6.661876466143544,7.393879525599187,-6.624612120754593,6.56177042753653,11.52505479466508,14.712144314312468,0.21052631578947367,0.0
BLOCKED_OOF,PGT-PGD,V,100.0,87,2,9.598826056158618,9.882067592698379,-9.598826056158618,9.666588611053243,13.666633421551445,15.451604898776537,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,C,10.0,94,3,9.155493040153187,9.283143708478834,9.155493040153187,8.899002273370273,11.591092641533576,13.65349687593585,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,C,45.0,173,3,3.8006191146947046,3.8043923911737036,3.8006191146947046,3.823471395723935,4.019402895846261,4.0881532142663275,0.930635838150289,0.0
REUSED_CONFIRMATION,PGD-PGS,C,60.0,166,3,12.275218725930856,12.429104331964144,-12.275218725930856,12.466082083257945,15.335841154202953,16.561677556574438,0.0,0.0
